-0.222,-0.222,-0.222,-0.2405,-0.2555,-0.256,-0.2451,-0.26636,-0.232,-0.23887,-0.24809,-0.24909,-0.25009,-0.25109,-0.25209,-0.25687,-0.26687,-0.27791,-0.27933,-0.27933,-0.27933,-0.27933,-0.27933,-0.27964,-0.28019,-0.28074,-0.28129,-0.28184,-0.282,-0.282,-0.282,-0.282,-0.282,-0.282,-0.28173,-0.28118,-0.28063,-0.28008,-0.27953,-0.27933,-0.27933,-0.27933,-0.27933,-0.27933,-0.27518,-0.26487,-0.25487,-0.25189,-0.25089,-0.24989,-0.24889,-0.24687,-0.23687,-0.232,-0.25727,-0.24279,-0.26,-0.25383,-0.238,-0.2365,-0.2365,-0.2365
-0.222,-0.222,-0.222,-0.2405,-0.2555,-0.256,-0.2451,-0.26636,-0.232,-0.23887,-0.24809,-0.24909,-0.25009,-0.25109,-0.25209,-0.25687,-0.26687,-0.27791,-0.27933,-0.27933,-0.27933,-0.27933,-0.27933,-0.27964,-0.28019,-0.28074,-0.28129,-0.28184,-0.282,-0.282,-0.282,-0.282,-0.282,-0.282,-0.28173,-0.28118,-0.28063,-0.28008,-0.27953,-0.27933,-0.27933,-0.27933,-0.27933,-0.27933,-0.27518,-0.26487,-0.25487,-0.25189,-0.25089,-0.24989,-0.24889,-0.24687,-0.23687,-0.232,-0.25727,-0.24279,-0.26,-0.25383,-0.238,-0.2365,-0.2365,-0.2365
-0.222,-0.222,-0.222,-0.2405,-0.2555,-0.256,-0.2451,-0.26636,-0.232,-0.23887,-0.24809,-0.24909,-0.25009,-0.25109,-0.25209,-0.25687,-0.26687,-0.27791,-0.27933,-0.27933,-0.27933,-0.27933,-0.27933,-0.27964,-0.28019,-0.28074,-0.28129,-0.28184,-0.282,-0.282,-0.282,-0.282,-0.282,-0.282,-0.28173,-0.28118,-0.28063,-0.28008,-0.27953,-0.27933,-0.27933,-0.27933,-0.27933,-0.27933,-0.27518,-0.26487,-0.25487,-0.25189,-0.25089,-0.24989,-0.24889,-0.24687,-0.23687,-0.232,-0.25727,-0.24279,-0.26,-0.25383,-0.238,-0.2365,-0.2365,-0.2365
-0.2405,-0.2405,-0.2405,-0.26,-0.256,-0.246,-0.219,-0.2304,-0.17656,-0.1345,-0.1275,-0.1165,-0.107,-0.105,-0.112,-0.125,-0.144,-0.2,-0.15111,-0.16681,-0.15033,-0.16292,-0.17611,-0.1893,-0.19595,-0.1899,-0.18386,-0.17781,-0.176,-0.176,-0.176,-0.176,-0.176,-0.176,-0.17902,-0.18507,-0.19111,-0.19715,-0.18666,-0.17347,-0.16029,-0.15363,-0.17011,-0.18222,-0.19182,-0.151,-0.132,-0.113,-0.1,-0.093,-0.095,-0.1045,-0.1195,-0.20211,-0.23191,-0.217,-0.259,-0.248,-0.258,-0.2365,-0.2365,-0.2365
-0.2555,-0.2555,-0.2555,-0.256,-0.216,-0.187,-0.151,-0.12809,0.0066111,0.0955,0.1705,0.247,0.299,0.314,0.299,0.258,0.209,0.24955,0.15556,0.13319,0.14967,0.16615,0.18264,0.19912,0.2156,0.23209,0.24857,0.23796,0.234,0.234,0.234,0.234,0.234,0.234,0.24059,0.24527,0.22879,0.21231,0.19582,0.17934,0.16286,0.14637,0.12989,0.19111,0.23591,0.202,0.251,0.298,0.319,0.313,0.2685,0.1935,0.1105,-0.037278,-0.13082,-0.149,-0.189,-0.212,-0.26,-0.2515,-0.2515,-0.2515
-0.256,-0.256,-0.256,-0.246,-0.187,-0.144,-0.068077,0.0704,0.2362,0.44577,0.579,0.69754,0.76485,0.77646,0.75215,0.689,0.62477,0.991,0.67444,0.52822,0.55988,0.59154,0.62321,0.65487,0.68654,0.7182,0.88407,1.0856,1.146,1.146,1.146,1.146,1.146,1.146,1.0453,0.84378,0.71187,0.6802,0.64854,0.61687,0.58521,0.55355,0.52188,0.83889,0.96364,0.64223,0.70877,0.757,0.77215,0.74046,0.66085,0.54954,0.435,0.1982,0.0544,-0.096,-0.153,-0.202,-0.255,-0.252,-0.252,-0.252
-0.2451,-0.2451,-0.2451,-0.219,-0.151,-0.068077,0.15115,0.37038,0.84526,1.089,1.22,1.303,1.334,1.332,1.303,1.254,1.203,1.6742,1.2707,1.1045,1.1362,1.1678,1.1995,1.2996,1.5011,1.6191,1.7143,1.8094,1.838,1.838,1.838,1.838,1.838,1.838,1.7904,1.6952,1.6,1.4608,1.2593,1.1932,1.1615,1.1298,1.0982,1.4365,1.5544,1.223,1.278,1.307,1.326,1.302,1.257,1.188,1.085,0.70551,0.32654,0.10731,-0.096,-0.16167,-0.23167,-0.25008,-0.25008,-0.25008
-0.26636,-0.26636,-0.26636,-0.2304,-0.12809,0.0704,0.37038,0.79,1.4645,1.739,1.8585,1.8992,1.8955,1.8858,1.853,1.8232,1.7838,1.9355,1.8669,1.6852,1.7152,1.8483,1.9042,1.9328,1.9615,1.9901,2.0188,2.0474,2.056,2.056,2.056,2.056,2.056,2.056,2.0417,2.013,1.9844,1.9558,1.9271,1.8985,1.8293,1.7061,1.6892,1.9427,1.9969,1.7952,1.833,1.8598,1.8855,1.8892,1.8845,1.835,1.7122,1.3249,0.666,0.32654,0.0061333,-0.17427,-0.2088,-0.26636,-0.26636,-0.26636
-0.232,-0.232,-0.232,-0.17656,0.0066111,0.2362,0.84526,1.4645,1.88,2.02,2.075,2.07,2.0505,2.0321,2.0205,1.9897,1.9889,2.0268,1.9771,1.8663,1.8603,1.8639,1.8915,1.9203,1.9491,1.9778,2.0055,2.032,2.04,2.04,2.04,2.04,2.04,2.04,2.0267,2.0002,1.9721,1.9433,1.9146,1.8858,1.8596,1.8615,1.8721,1.939,1.9954,1.9806,1.9904,2.0242,2.0353,2.0543,2.074,2.073,2,1.844,1.3406,0.72141,0.1734,-0.018167,-0.2,-0.244,-0.244,-0.244
-0.23887,-0.23887,-0.23887,-0.1345,0.0955,0.44577,1.089,1.739,2.02,2.075,2.07,2.0505,2.0315,2.0125,1.9938,1.9841,1.9631,1.9857,1.9121,1.8737,1.8677,1.8617,1.8557,1.8571,1.8791,1.9078,1.9366,1.9654,1.974,1.974,1.974,1.974,1.974,1.974,1.9596,1.9309,1.9021,1.8744,1.8528,1.8569,1.8629,1.8689,1.8749,1.9378,1.9749,1.9626,1.9861,1.9973,2.0163,2.0353,2.0543,2.074,2.073,2,1.6244,0.975,0.325,0.0685,-0.1665,-0.2534,-0.2534,-0.2534
