0,0,0,-0.3,-1,-1,-1.3,-2.3,-3,-3.3,-4.3,-5.3,-6.3,-7.3,-8.3,-9.6,-11.6,-13.6,-16,-17.4,-16.9,-15.9,-13.9,-14.6,-19.7,-59.15,-54.45,-53.5,-53.6,-53.35,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2,-53.2
3.9733,3.9733,4,4.3,4.9733,5,5.3,6.3,6.9733,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.6,21.927,24.627,22.267,22.467,11.8,-21.2,-103.8,-173.95,-186.45,-193.05,-186.55,-180.03,-173.55,-168.85,-168.35,-167.95,-167.45,-166.6,-164.6,-163.5,-164.5,-164.85,-164.35,-163.8,-163.8,-163.8,-163.8,-164.05,-163.55,-163.05,-162.55,-162,-162,-162,-162,-162,-162,-162,-162,-162
3.84,3.84,4,4.3,4.84,5,5.3,6.3,6.84,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.6,22.06,24.76,21.24,4.84,2.3,-22.533,-104.93,-174.95,-186.95,-193.05,-186.3,-179.53,-173.27,-169.1,-168.77,-168.45,-168.2,-167.6,-165.6,-164.5,-165,-164.85,-163.85,-162.8,-162.8,-163.5,-164.5,-165.05,-164.55,-163.7,-162.7,-162,-162,-162,-162,-162,-162,-162,-162,-162
3.7067,3.7067,4,4.3,4.7067,5,5.3,6.3,6.7067,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.6,22.193,24.893,21.373,4.9733,-11.427,-23.533,-105.93,-175.65,-187.15,-192.9,-185.9,-179.8,-174.9,-171.1,-170.1,-169.1,-169.1,-168.4,-166.4,-165.3,-165.3,-164.45,-162.95,-162.5,-163.5,-164.5,-165.5,-165.8,-164.8,-163.8,-162.8,-162.3,-162.3,-162.3,-162.3,-162.3,-162.3,-162.3,-162.3,-162.19
3.5733,3.5733,4,4.3,4.5733,5,5.3,6.3,6.5733,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.6,22.327,25.027,21.507,5.1067,-11.293,-27.693,-106.93,-176.65,-187.65,-192.9,-185.9,-179.8,-175.8,-172.58,-170.83,-169.6,-169.35,-168.4,-167.15,-166.8,-165.8,-163.95,-163.2,-163.5,-164.5,-165.33,-166.08,-166.3,-165.3,-164.65,-164.15,-163.8,-163.8,-163.8,-163.8,-163.61,-163.38,-163.15,-162.92,-162.69
3.44,3.44,4,4.3,4.44,5,5.3,6.3,6.44,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.6,22.46,25.16,21.64,5.24,-11.16,-28.629,-107.93,-177.35,-187.85,-192.9,-185.9,-179.95,-176.22,-173.07,-171.32,-169.75,-169.25,-168.85,-168.35,-167.5,-165.5,-164.1,-164.1,-164.43,-165.18,-165.93,-166.68,-166.95,-166.45,-165.95,-165.45,-164.83,-164.6,-164.37,-164.14,-163.91,-163.68,-163.45,-163.22,-163.05
3.3067,3.3067,4,4.3,4.3067,5,5.3,6.3,6.3067,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.6,22.593,25.293,21.773,5.3733,-11.771,-28.2,-108.93,-178.35,-188.35,-192.9,-185.9,-179.95,-176.45,-173.27,-170.97,-169.25,-169,-168.85,-168.6,-168,-166,-164.6,-164.85,-165.42,-166.17,-166.75,-167.25,-167.45,-166.95,-166.1,-165.1,-164.33,-164.1,-163.87,-163.64,-163.51,-163.39,-163.28,-163.16,-163.05
3.1733,3.3,4,4.1733,4.3,5,5.3,6.1733,6.3,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.727,22.727,25.427,21.907,5.0857,-4.2,-27.1,-110.27,-179.15,-188.65,-193,-186,-180.1,-176.88,-173.78,-171.03,-169.4,-169.4,-169.2,-169.2,-168.5,-166.5,-165.55,-166.05,-166.25,-166.75,-167.25,-167.75,-167.7,-166.7,-165.7,-164.7,-164.17,-164.05,-163.94,-163.82,-163.71,-163.59,-163.48,-163.36,-163.41
3.04,3.3,4,4.04,4.3,5,5.3,6.04,6.3,7.3,8.3,9.3,10.3,11.3,12.3,13.6,15.6,17.6,19.86,22.86,25.56,21.943,19.8,9.9,-28.6,-111.77,-180.65,-189.65,-193.5,-186.25,-180.1,-177.1,-174.7,-172.8,-171.4,-170.9,-170.2,-169.95,-169,-167.75,-167.55,-167.3,-166.75,-167.25,-167.57,-167.82,-167.7,-166.7,-166.05,-165.55,-165.17,-165.05,-164.94,-164.82,-164.99,-165.22,-165.45,-165.68,-165.91
3,3.3,4,4,4.3,5,5.3,6,6.3933,7.3,8.3,9.3,10.3,11.3,12.393,13.693,15.693,17.693,20.087,23.087,25.693,21.257,13.6,-4.6,-30.1,-113.27,-181.65,-190.15,-193.85,-186.35,-180.18,-177.1,-174.7,-173.7,-172.8,-171.8,-171.35,-170.85,-170.15,-169.65,-169,-168,-167.47,-167.72,-167.97,-168.22,-168.25,-167.75,-167.25,-166.75,-166.37,-166.6,-166.83,-167.06,-167.29,-167.52,-167.75,-167.98,-168.21
