0.000000000000000000e+00,3.297510582860589956e-01
1.000000000000000000e+00,3.300010961578315194e-01
2.000000000000000000e+00,3.302513711106684902e-01
3.000000000000000000e+00,3.305018832286854558e-01
4.000000000000000000e+00,3.307526325959032065e-01
5.000000000000000000e+00,3.310036192962472756e-01
6.000000000000000000e+00,3.312548434135491049e-01
7.000000000000000000e+00,3.315063050315438797e-01
8.000000000000000000e+00,3.317580042338738044e-01
9.000000000000000000e+00,3.320099411040834947e-01
1.000000000000000000e+01,3.322621157256251956e-01
1.100000000000000000e+01,3.325145281818547849e-01
1.200000000000000000e+01,3.327671785560332163e-01
1.300000000000000000e+01,3.330200669313272410e-01
1.400000000000000000e+01,3.332731933908071875e-01
1.500000000000000000e+01,3.335265580174494038e-01
1.600000000000000000e+01,3.337801608941344256e-01
1.700000000000000000e+01,3.340340021036488083e-01
1.800000000000000000e+01,3.342880817286821848e-01
1.900000000000000000e+01,3.345423998518302633e-01
2.000000000000000000e+01,3.347969565555937721e-01
2.100000000000000000e+01,3.350517519223777385e-01
2.200000000000000000e+01,3.353067860344917106e-01
2.300000000000000000e+01,3.355620589741492021e-01
2.400000000000000000e+01,3.358175708234717449e-01
2.500000000000000000e+01,3.360733216644811727e-01
2.600000000000000000e+01,3.363293115791075039e-01
2.700000000000000000e+01,3.365855406491835566e-01
2.800000000000000000e+01,3.368420089564475584e-01
2.900000000000000000e+01,3.370987165825419241e-01
3.000000000000000000e+01,3.373556636090143668e-01
3.100000000000000000e+01,3.376128501173160101e-01
3.200000000000000000e+01,3.378702761888041084e-01
3.300000000000000000e+01,3.381279419047387158e-01
3.400000000000000000e+01,3.383858473462860172e-01
3.500000000000000000e+01,3.386439925945154417e-01
3.600000000000000000e+01,3.389023777304024376e-01
3.700000000000000000e+01,3.391610028348253092e-01
3.800000000000000000e+01,3.394198679885676584e-01
3.900000000000000000e+01,3.396789732723174415e-01
4.000000000000000000e+01,3.399383187666674133e-01
4.100000000000000000e+01,3.401979045521132394e-01
4.200000000000000000e+01,3.404577307090572158e-01
4.300000000000000000e+01,3.407177973178052155e-01
4.400000000000000000e+01,3.409781044585655785e-01
4.500000000000000000e+01,3.412386522114537191e-01
4.600000000000000000e+01,3.414994406564884621e-01
4.700000000000000000e+01,3.417604698735920432e-01
4.800000000000000000e+01,3.420217399425925509e-01
4.900000000000000000e+01,3.422832509432202075e-01
5.000000000000000000e+01,3.425450029551123654e-01
5.100000000000000000e+01,3.428069960578081776e-01
5.200000000000000000e+01,3.430692303307517621e-01
5.300000000000000000e+01,3.433317058532921462e-01
5.400000000000000000e+01,3.435944227046822119e-01
5.500000000000000000e+01,3.438573809640784740e-01
5.600000000000000000e+01,3.441205807105427450e-01
5.700000000000000000e+01,3.443840220230404148e-01
5.800000000000000000e+01,3.446477049804401172e-01
5.900000000000000000e+01,3.449116296615164501e-01
6.000000000000000000e+01,3.451757961449464229e-01
6.100000000000000000e+01,3.454402045093126206e-01
6.200000000000000000e+01,3.457048548331008164e-01
6.300000000000000000e+01,3.459697471947010827e-01
6.400000000000000000e+01,3.462348816724083456e-01
6.500000000000000000e+01,3.465002583444199979e-01
6.600000000000000000e+01,3.467658772888390084e-01
6.700000000000000000e+01,3.470317385836720891e-01
6.800000000000000000e+01,3.472978423068293630e-01
6.900000000000000000e+01,3.475641885361252514e-01
7.000000000000000000e+01,3.478307773492790300e-01
7.100000000000000000e+01,3.480976088239128852e-01
7.200000000000000000e+01,3.483646830375531356e-01
7.300000000000000000e+01,3.486320000676299546e-01
7.400000000000000000e+01,3.488995599914799794e-01
7.500000000000000000e+01,3.491673628863404266e-01
7.600000000000000000e+01,3.494354088293533667e-01
7.700000000000000000e+01,3.497036978975662236e-01
7.800000000000000000e+01,3.499722301679288328e-01
7.900000000000000000e+01,3.502410057172958835e-01
8.000000000000000000e+01,3.505100246224265859e-01
8.100000000000000000e+01,3.507792869599818397e-01
8.200000000000000000e+01,3.510487928065279539e-01
8.300000000000000000e+01,3.513185422385362022e-01
8.400000000000000000e+01,3.515885353323799922e-01
8.500000000000000000e+01,3.518587721643370858e-01
8.600000000000000000e+01,3.521292528105893771e-01
8.700000000000000000e+01,3.523999773472227259e-01
8.800000000000000000e+01,3.526709458502269579e-01
8.900000000000000000e+01,3.529421583954944208e-01
9.000000000000000000e+01,3.532136150588245926e-01
9.100000000000000000e+01,3.534853159159159763e-01
9.200000000000000000e+01,3.537572610423755370e-01
9.300000000000000000e+01,3.540294505137116521e-01
9.400000000000000000e+01,3.543018844053367755e-01
9.500000000000000000e+01,3.545745627925685484e-01
9.600000000000000000e+01,3.548474857506262459e-01
9.700000000000000000e+01,3.551206533546337751e-01
9.800000000000000000e+01,3.553940656796206188e-01
9.900000000000000000e+01,3.556677228005183378e-01
1.000000000000000000e+02,3.559416247921620702e-01
1.010000000000000000e+02,3.562157717292918635e-01
1.020000000000000000e+02,3.564901636865508427e-01
1.030000000000000000e+02,3.567648007384860431e-01
1.040000000000000000e+02,3.570396829595496868e-01
1.050000000000000000e+02,3.573148104240947420e-01
1.060000000000000000e+02,3.575901832063806407e-01
1.070000000000000000e+02,3.578658013805706140e-01
1.080000000000000000e+02,3.581416650207293051e-01
1.090000000000000000e+02,3.584177742008276546e-01
1.100000000000000000e+02,3.586941289947396805e-01
1.110000000000000000e+02,3.589707294762425338e-01
1.120000000000000000e+02,3.592475757190174979e-01
1.130000000000000000e+02,3.595246677966497661e-01
1.140000000000000000e+02,3.598020057826294416e-01
1.150000000000000000e+02,3.600795897503480947e-01
